#wave[nm]	#irradiance[W/m^2/nm]	#model[W/m^2/nm]
0.5	6.882622255943716E-8	0
1.5	1.4892105245962738E-6	0
2.5	2.781058428809047E-6	1.1036676587536932E-6
3.5	3.1476046424359084E-6	1.7232082318514585E-6
4.5	4.597033839672804E-6	2.9984293505549433E-6
5.5	7.951541803777218E-6	6.163920275866985E-6
6.5	3.2925665378570554E-5	3.2925665378570554E-5
7.5	2.8017792850732804E-5	2.8017792850732804E-5
8.5	2.8888069093227388E-5	2.8888069093227388E-5
9.5	2.5423822924494743E-5	2.5423822924494743E-5
10.5	1.9232956692576408E-5	1.9232956692576408E-5
11.5	1.3547109439969063E-5	1.3547109439969063E-5
12.5	6.669436581432819E-6	6.669436581432819E-6
13.5	7.196169346570969E-6	7.196169346570969E-6
14.5	1.5512462705373765E-5	1.5512462705373765E-5
15.5	1.2369049713015556E-5	1.2369049713015556E-5
16.5	2.08838302642107E-5	2.08838302642107E-5
17.5	1.4595881104469298E-4	1.4595881104469298E-4
18.5	1.1362446099519729E-4	1.1362446099519729E-4
19.5	7.88101851940155E-5	7.88101851940155E-5
20.5	4.695800319314003E-5	4.695800319314003E-5
21.5	3.086256235837936E-5	3.086256235837936E-5
22.5	5.2271153777837755E-5	5.2271153777837755E-5
23.5	3.1573139131069185E-5	3.1573139131069185E-5
24.5	3.69441919028759E-5	3.69441919028759E-5
25.5	6.29371553659439E-5	6.29371553659439E-5
26.5	1.3965908437967301E-5	1.3965908437967301E-5
27.5	2.2397603839635848E-5	2.2397603839635848E-5
28.5	9.432485327124596E-6	9.432485327124596E-6
29.5	1.4772500842809678E-5	1.4772500842809678E-5
30.5	4.366075098514557E-4	4.366075098514557E-4
31.5	3.075076267123222E-5	3.075076267123222E-5
32.5	9.659092873334884E-6	9.659092873334884E-6
33.5	1.093424577265978E-5	1.093424577265978E-5
34.5	3.6603305488824844E-5	3.6603305488824844E-5
35.5	2.7513885870575906E-5	2.7513885870575906E-5
36.5	5.01454547047615E-5	5.01454547047615E-5
37.5	1.498641725629568E-5	1.498641725629568E-5
38.5	7.042539771646261E-6	7.042539771646261E-6
39.5	4.449184518307447E-6	4.449184518307447E-6
40.5	6.9214929826557635E-6	6.9214929826557635E-6
41.5	3.462027991190553E-6	3.462027991190553E-6
42.5	4.622694104909897E-6	4.622694104909897E-6
43.5	1.0549713857471943E-5	1.0549713857471943E-5
44.5	5.417012609541416E-6	5.417012609541416E-6
45.5	6.279867142438889E-6	6.279867142438889E-6
46.5	1.7689311876893044E-5	1.7689311876893044E-5
47.5	7.443669717758894E-6	7.443669717758894E-6
48.5	1.124662347137928E-5	1.124662347137928E-5
49.5	1.2761360034346581E-5	1.2761360034346581E-5
50.5	1.5312683768570422E-5	1.5312683768570422E-5
51.5	5.754407029598952E-6	5.754407029598952E-6
52.5	5.947452504187823E-6	5.947452504187823E-6
53.5	7.682973053306342E-6	7.682973053306342E-6
54.5	4.525808151811361E-6	4.525808151811361E-6
55.5	2.833431027829647E-5	2.833431027829647E-5
56.5	6.170601584017277E-6	6.170601584017277E-6
57.5	5.039127543568611E-6	5.039127543568611E-6
58.5	4.2075768113136294E-5	4.2075768113136294E-5
59.5	7.581702433526516E-6	7.581702433526516E-6
60.5	1.5636440366506577E-5	1.5636440366506577E-5
61.5	1.2209038250148296E-5	1.2209038250148296E-5
62.5	3.53303924202919E-5	3.53303924202919E-5
63.5	3.047236241400242E-5	3.047236241400242E-5
64.5	3.939391579478979E-6	3.939391579478979E-6
65.5	3.6196245346218347E-6	3.6196245346218347E-6
