#wave[nm]	#irradiance[W/m^2/nm]	#model[W/m^2/nm]
66.5	3.933294210582971E-6	3.933294210582971E-6
67.5	3.094986779615283E-6	3.094986779615283E-6
68.5	7.250144146382809E-6	7.250144146382809E-6
69.5	4.891958087682724E-6	4.891958087682724E-6
70.5	1.2123924680054188E-5	1.2123924680054188E-5
71.5	4.487804602831602E-6	4.487804602831602E-6
72.5	3.8060578517615796E-6	3.8060578517615796E-6
73.5	2.858342370018363E-6	2.858342370018363E-6
74.5	4.278547130525112E-6	4.278547130525112E-6
75.5	5.946202669292688E-6	5.946202669292688E-6
76.5	1.600240543484688E-5	1.600240543484688E-5
77.5	1.3293315656483173E-5	1.3293315656483173E-5
78.5	1.9859377294778825E-5	1.9859377294778825E-5
79.5	1.3310627080500126E-5	1.3310627080500126E-5
80.5	1.0093823075294494E-5	1.0093823075294494E-5
81.5	1.0863409377634525E-5	1.0863409377634525E-5
82.5	1.2831958010792731E-5	1.2831958010792731E-5
83.5	3.071444481611252E-5	3.071444481611252E-5
84.5	1.7694944515824318E-5	1.7694944515824318E-5
85.5	2.1063018590211867E-5	2.1063018590211867E-5
86.5	2.4211451411247255E-5	2.4211451411247255E-5
87.5	2.8911976143717765E-5	2.8911976143717765E-5
88.5	3.318256512284279E-5	3.318256512284279E-5
89.5	3.7476692348718644E-5	3.7476692348718644E-5
90.5	4.4861853122711184E-5	4.4861853122711184E-5
91.5	3.895244002342224E-5	3.895244002342224E-5
92.5	1.4595134183764459E-5	1.4595134183764459E-5
93.5	1.4970362186431885E-5	1.4970362186431885E-5
94.5	1.1112342588603497E-5	1.1112342588603497E-5
95.5	8.908422663807869E-6	8.908422663807869E-6
96.5	6.38775760307908E-6	6.38775760307908E-6
97.5	1.0143689066171647E-4	1.0143689066171647E-4
98.5	1.3525992631912232E-5	1.3525992631912232E-5
99.5	1.945614255964756E-5	1.945614255964756E-5
100.5	8.60483106225729E-6	8.60483106225729E-6
101.5	1.1670987121760846E-5	1.1670987121760846E-5
102.5	8.544858545064926E-5	8.544858545064926E-5
103.5	8.24209526181221E-5	8.24209526181221E-5
104.5	1.3804186135530471E-5	1.3804186135530471E-5
105.5	1.3356384821236133E-5	1.3356384821236133E-5
106.5	1.439737994223833E-5	1.439737994223833E-5
107.5	1.6829656437039374E-5	1.6829656437039374E-5
108.5	2.382433973252773E-5	2.382433973252773E-5
109.5	1.815102994441986E-5	1.815102994441986E-5
110.5	2.1129969507455827E-5	2.1129969507455827E-5
111.5	1.9815009087324144E-5	1.9815009087324144E-5
112.5	2.0818619057536125E-5	2.0818619057536125E-5
113.5	1.3205917552113532E-5	1.3205917552113532E-5
114.5	1.6740772873163223E-5	1.6740772873163223E-5
115.5	2.0285267382860183E-5	2.0285267382860183E-5
116.5	2.4747531861066817E-5	2.4747531861066817E-5
117.5	8.223570883274078E-5	8.223570883274078E-5
118.5	3.2293897122144697E-5	3.2293897122144697E-5
119.5	5.4248813539743425E-5	5.4248813539743425E-5
120.5	1.479816436767578E-4	1.4238731563091277E-4
121.5	0.006622122764587402	0.006363874435424805
122.5	6.405762583017349E-5	6.32311999797821E-5
123.5	4.081006348133087E-5	4.0216188877820965E-5
124.5	2.9744280502200127E-5	2.9294170439243317E-5
125.5	2.715611644089222E-5	2.691536583006382E-5
126.5	3.636690229177475E-5	3.539066016674042E-5
127.5	1.9518379122018815E-5	1.9440634176135065E-5
128.5	1.5558203682303428E-5	1.5498537570238113E-5
129.5	1.7472177743911743E-5	1.7258336767554283E-5
130.5	1.520359367132187E-4	1.5210846066474913E-4
131.5	2.473045513033867E-5	2.504633367061615E-5
132.5	2.0063690841197966E-5	1.992460712790489E-5
133.5	1.810404360294342E-4	1.776367574930191E-4
134.5	1.849674992263317E-5	1.8643133342266083E-5
135.5	4.2875315994024274E-5	4.260069876909256E-5
136.5	2.660149708390236E-5	2.6626307517290114E-5
137.5	2.89226770401001E-5	2.885286882519722E-5
138.5	2.857629768550396E-5	2.8504537418484687E-5
139.5	7.325275987386703E-5	7.190383225679398E-5
140.5	6.341901421546936E-5	6.316637247800827E-5
141.5	4.020477831363678E-5	4.008490964770317E-5
142.5	4.345514252781868E-5	4.344770684838295E-5
143.5	5.0106484442949295E-5	4.97509315609932E-5
144.5	4.8822570592164996E-5	4.856766015291214E-5
145.5	5.2113529294729235E-5	5.194873362779617E-5
146.5	6.406456232070923E-5	6.377177685499191E-5
147.5	7.986690849065781E-5	7.973761111497878E-5
148.5	8.225084841251374E-5	8.126154541969299E-5
149.5	7.33720064163208E-5	7.308968156576157E-5
150.5	8.21073055267334E-5	8.182556927204131E-5
151.5	8.815038204193115E-5	8.870599418878555E-5
152.5	1.0969070345163345E-4	1.0905578732490539E-4
153.5	1.2158318608999253E-4	1.2101289629936218E-4
154.5	2.0043152570724487E-4	1.9949346780776979E-4
155.5	1.7910271883010863E-4	1.79134339094162E-4
156.5	1.831926554441452E-4	1.824871152639389E-4
157.5	1.618858575820923E-4	1.6141271591186524E-4
158.5	1.6124582290649413E-4	1.6062520444393158E-4
159.5	1.6031982004642486E-4	1.5978905558586122E-4
160.5	1.8009690940380097E-4	1.7797261476516725E-4
161.5	2.107469141483307E-4	2.0943549275398253E-4
162.5	2.462723255157471E-4	2.417210340499878E-4
163.5	2.603161931037903E-4	2.5760644674301147E-4
164.5	2.96397864818573E-4	2.947033941745758E-4
165.5	4.773775637149811E-4	4.7256237268447876E-4
166.5	3.254406750202179E-4	3.2448890805244444E-4
167.5	3.8548511266708375E-4	3.8095560669898986E-4
168.5	4.24153596162796E-4	4.224688708782196E-4
169.5	5.652062892913818E-4	5.58555006980896E-4
170.5	6.463966965675354E-4	6.441361904144287E-4
171.5	6.530314683914184E-4	6.47075355052948E-4
172.5	7.152065634727478E-4	7.116464972496033E-4
173.5	7.242920398712158E-4	7.209599614143371E-4
174.5	8.937434554100037E-4	8.859044313430786E-4
175.5	0.0010942205190658568	0.0010858381986618042
176.5	0.001185376763343811	0.0011800200939178467
177.5	0.0014443470239639282	0.0014311165809631347
178.5	0.001615783929824829	0.0015963187217712402
179.5	0.0015940665006637573	0.0015869051218032836
180.5	0.0020016262531280518	0.001963789939880371
181.5	0.00236224365234375	0.0023181710243225097
182.5	0.0022865004539489747	0.0022503068447113036
183.5	0.0024608185291290284	0.0024259657859802245
184.5	0.002145080804824829	0.00211636209487915
185.5	0.0024507625102996827	0.0024156794548034666
186.5	0.0028341047763824462	0.0027922952175140382
187.5	0.003175100803375244	0.0031350555419921875
188.5	0.003423525333404541	0.0033682866096496583
189.5	0.003759943723678589	0.003704836130142212
190.5	0.003983232021331787	0.003930398941040039
191.5	0.004244311332702637	0.004187888622283935
192.5	0.004523372650146485	0.004500192642211914
193.5	0.0035303101539611815	0.003499953031539917
194.5	0.005789122104644775	0.005725373744964599
195.5	0.0056221895217895505	0.0055658164024353024
196.5	0.006322778701782226	0.006282456874847412
197.5	0.006435237884521485	0.006372493267059326
198.5	0.006484997749328613	0.006430575370788574
199.5	0.007050954818725586	0.006994269371032715
200.5	0.007702440738677979	0.00761219596862793
201.5	0.008546107292175293	0.008476834297180175
202.5	0.008470149993896484	0.00840814208984375
203.5	0.009757442474365234	0.009714493751525879
204.5	0.010823163986206055	0.01075161361694336
205.5	0.011170197486877441	0.01106493091583252
206.5	0.011528303146362304	0.011450528144836426
207.5	0.01332803726196289	0.013205681800842285
208.5	0.01530064868927002	0.015211345672607422
209.5	0.02209311103820801	0.021997175216674804
210.5	0.02870811080932617	0.0285856876373291
211.5	0.034619373321533205	0.03447151184082031
212.5	0.03300390625	0.032922271728515626
213.5	0.02982742118835449	0.02974706840515137
214.5	0.04263079071044922	0.042383800506591796
215.5	0.03476923370361328	0.03470924758911133
216.5	0.033393772125244144	0.03336544036865234
217.5	0.032670536041259766	0.03250680160522461
218.5	0.0460614013671875	0.04599153518676758
219.5	0.04833309173583984	0.0481391716003418
220.5	0.047654388427734375	0.047565647125244144
221.5	0.033757064819335936	0.03368600463867188
222.5	0.04976055908203125	0.04969009017944336
223.5	0.06353820419311523	0.06339751815795898
224.5	0.05827565765380859	0.05824765396118164
225.5	0.05153386688232422	0.051374252319335935
226.5	0.03604403686523437	0.0360203857421875
227.5	0.03653928756713867	0.0364359245300293
228.5	0.05234390640258789	0.05225790023803711
229.5	0.044510704040527344	0.044412235260009765
230.5	0.05418151092529297	0.054120174407958986
231.5	0.04663104248046875	0.04662643814086914
232.5	0.05033146286010742	0.05029975509643555
233.5	0.04221478271484375	0.042220943450927736
234.5	0.034141159057617186	0.03414714050292969
235.5	0.054902664184570314	0.05491923904418945
236.5	0.04221277236938477	0.04226239395141602
237.5	0.0511342887878418	0.05138321304321289
238.5	0.03501081848144531	0.0351441421508789
239.5	0.043260791778564456	0.04342224502563476
240.5	0.039543556213378905	0.03972519302368164
241.5	0.04611353302001953	0.0463917350769043
242.5	0.06938435363769531	0.06980326080322266
243.5	0.06327928161621094	0.06357378387451172
244.5	0.06013710403442383	0.06044208908081055
245.5	0.04722726821899414	0.04752572631835938
246.5	0.04742332458496094	0.04762450790405273
247.5	0.05477981567382813	0.0550131721496582
248.5	0.042186981201171876	0.04234342193603516
249.5	0.05412232208251953	0.054205528259277345
250.5	0.05705233383178711	0.05711161041259766
251.5	0.0441179313659668	0.04415074157714844
252.5	0.0390030517578125	0.03905135726928711
253.5	0.05019032669067383	0.050203742980957033
254.5	0.055669677734375	0.05583401107788086
255.5	0.07888131713867187	0.07908905792236329
256.5	0.09488812255859375	0.09509207153320312
257.5	0.11785506439208984	0.11817485809326173
258.5	0.1250396270751953	0.12534881591796876
259.5	0.1048988037109375	0.10509624481201171
260.5	0.08500624084472656	0.08517031097412109
261.5	0.08287689971923828	0.0829748306274414
262.5	0.10477230834960938	0.10504606628417969
263.5	0.1538223419189453	0.15411988830566406
264.5	0.240598388671875	0.24095991516113283
265.5	0.26169839477539064	0.26185833740234377
266.5	0.26390560913085936	0.2640722961425781
267.5	0.2609971923828125	0.26118841552734373
268.5	0.2579964599609375	0.2581164245605469
269.5	0.25467945861816405	0.2547985382080078
270.5	0.27802175903320314	0.27811996459960936
271.5	0.2476640625	0.24780862426757813
272.5	0.21188078308105468	0.212006591796875
273.5	0.21305035400390626	0.21310624694824218
274.5	0.1483014678955078	0.14836781311035158
275.5	0.183267822265625	0.1833112487792969
276.5	0.24771600341796876	0.24786502075195313
277.5	0.24450538635253907	0.24449879455566406
278.5	0.17298902893066406	0.17305722045898436
279.5	0.09715813446044921	0.09730782318115234
280.5	0.10034674072265624	0.10058737182617188
281.5	0.20590248107910156	0.20610159301757813
282.5	0.299750244140625	0.2998542785644531
283.5	0.3250515747070313	0.3251726989746094
284.5	0.25457763671875	0.25479010009765624
285.5	0.18000677490234376	0.18021382141113282
286.5	0.31717910766601565	0.3173331604003906
287.5	0.357265625	0.3573779296875
288.5	0.3427076721191406	0.3429727478027344
289.5	0.4819454040527344	0.48224606323242186
290.5	0.6183885498046875	0.618808837890625
291.5	0.6087609252929688	0.609130615234375
292.5	0.554230712890625	0.5546227416992188
293.5	0.5528763427734374	0.5533051147460938
294.5	0.5334830932617187	0.5339115600585937
295.5	0.5642097778320313	0.5646935424804688
296.5	0.539605224609375	0.5399691162109375
297.5	0.5189459838867188	0.5193016357421875
298.5	0.4971117248535156	0.49744711303710937
299.5	0.4999348449707031	0.5002416687011719
300.5	0.452477783203125	0.45279953002929685
301.5	0.4733049621582031	0.47367947387695314
302.5	0.5051971435546875	0.5057067260742187
303.5	0.6462022094726563	0.646708251953125
304.5	0.6336514282226563	0.6341680297851563
305.5	0.6267389526367187	0.6271299438476563
306.5	0.58917724609375	0.5896061401367187
307.5	0.6485913696289063	0.64927392578125
308.5	0.646274169921875	0.646895263671875
309.5	0.5503583374023437	0.550740966796875
310.5	0.6193236083984375	0.6198387451171875
311.5	0.7579229736328125	0.758289306640625
312.5	0.6902367553710937	0.690523193359375
313.5	0.7193976440429688	0.71983837890625
314.5	0.7010416259765625	0.7015174560546875
315.5	0.6639542236328125	0.664373291015625
316.5	0.6432529907226563	0.6437339477539062
317.5	0.7869044799804688	0.7873389282226563
318.5	0.7026608276367188	0.702975830078125
319.5	0.7280624389648438	0.7284610595703125
320.5	0.8167837524414062	0.8171283569335938
321.5	0.7320339965820313	0.7323651123046875
322.5	0.7183935546875	0.7187625732421875
323.5	0.686459716796875	0.68687255859375
324.5	0.7783663940429687	0.7788120727539063
325.5	0.8952821655273437	0.8958726806640624
326.5	1.0132803344726562	1.0138350830078124
327.5	0.9921497192382812	0.9926337890625
328.5	0.9598743896484375	0.9603705444335937
329.5	1.0823671875	1.08298046875
330.5	1.0706925048828124	1.07110205078125
331.5	1.0022432861328125	1.0028429565429688
332.5	0.994943115234375	0.9956784057617187
333.5	0.9624909057617187	0.9632125854492187
334.5	0.9925078125	0.9931571655273438
335.5	0.987863037109375	0.988255859375
336.5	0.859635986328125	0.8600287475585937
337.5	0.8737374267578125	0.8741842041015625
338.5	0.9548380737304687	0.955248046875
339.5	1.0030618896484376	1.0036649169921874
340.5	1.0567635498046875	1.0572042236328125
341.5	0.9802288818359375	0.9808366088867188
342.5	1.0312137451171874	1.031874755859375
343.5	0.9968925170898437	0.997149169921875
344.5	0.8538718872070312	0.8542662353515625
345.5	0.9733289794921876	0.9737255859375
346.5	0.9723776245117187	0.9728825073242188
347.5	0.957695068359375	0.9582255859375
348.5	0.9446990966796875	0.9452926635742187
349.5	0.9379844970703125	0.9384981689453125
350.5	1.0738233642578126	1.0742130126953124
351.5	1.03910009765625	1.03936865234375
352.5	0.9665314331054687	0.9669453735351563
353.5	1.0509561767578126	1.0516522216796875
354.5	1.1534166259765626	1.154089599609375
355.5	1.104789794921875	1.104800048828125
356.5	0.985239990234375	0.9845964965820313
357.5	0.8552061767578125	0.8546602172851563
358.5	0.763506103515625	0.7631652221679688
359.5	1.0046815185546876	1.0051884155273438
360.5	1.060721435546875	1.0608173828125
361.5	0.9337962646484375	0.9339054565429687
362.5	1.0178713989257813	1.0181454467773436
363.5	1.0469088134765625	1.0471846923828125
364.5	1.056384521484375	1.0569718017578125
365.5	1.1747037353515626	1.175525146484375
366.5	1.2904417724609376	1.29142041015625
367.5	1.24162939453125	1.242545654296875
368.5	1.1705302734375	1.1715162353515625
369.5	1.2650728759765626	1.2662408447265625
370.5	1.2209356689453126	1.2217252197265625
371.5	1.2152249755859375	1.215998291015625
372.5	1.112619873046875	1.1133509521484375
373.5	0.9757509155273437	0.9764799194335938
374.5	0.94000439453125	0.9406956176757812
375.5	1.0640224609375	1.064849853515625
376.5	1.131594482421875	1.13247216796875
377.5	1.2717803955078124	1.2729573974609374
378.5	1.3643944091796876	1.3653720703125
379.5	1.1600206298828124	1.1610537109375
380.5	1.222208740234375	1.22331005859375
381.5	1.16521337890625	1.166146728515625
382.5	0.8558992309570312	0.85661865234375
383.5	0.7362591552734375	0.7369168090820313
384.5	0.933157958984375	0.9340366821289062
385.5	1.03546044921875	1.036447509765625
386.5	1.0168736572265624	1.0177617797851561
387.5	1.0205534057617187	1.0214476318359376
388.5	0.9997528076171875	1.000571044921875
389.5	1.1428558349609375	1.14363916015625
390.5	1.259328369140625	1.2599384765625
391.5	1.3379188232421875	1.3382750244140624
392.5	1.082318359375	1.0826422119140624
393.5	0.6491751098632812	0.6497357177734375
394.5	0.9489526977539062	0.949442626953125
395.5	1.2791241455078124	1.2796417236328126
396.5	0.9681622924804687	0.9685867309570313
397.5	0.8627286376953125	0.8632979125976562
398.5	1.549882568359375	1.550382080078125
399.5	1.663325439453125	1.66373876953125
400.5	1.6653280029296875	1.6662200927734374
401.5	1.7486571044921875	1.7495670166015624
402.5	1.767159423828125	1.76836279296875
403.5	1.7215328369140626	1.7224163818359375
404.5	1.6942315673828126	1.69521484375
405.5	1.674055908203125	1.6749581298828125
406.5	1.62012890625	1.6210946044921875
407.5	1.6489024658203124	1.649754150390625
408.5	1.77054541015625	1.7711923828125
409.5	1.71958544921875	1.7202076416015626
410.5	1.5890166015625	1.58946240234375
411.5	1.8209989013671875	1.82158837890625
412.5	1.8073524169921875	1.807567626953125
413.5	1.779917724609375	1.7800902099609375
414.5	1.8038594970703126	1.803896728515625
415.5	1.7825091552734376	1.782544921875
416.5	1.8319998779296875	1.8320364990234375
417.5	1.734256591796875	1.734336669921875
418.5	1.7322574462890625	1.732324951171875
419.5	1.7221422119140626	1.7223551025390624
420.5	1.7604825439453125	1.7606741943359374
421.5	1.8669820556640624	1.8677811279296874
422.5	1.7138831787109374	1.714503662109375
423.5	1.7201834716796875	1.720707275390625
424.5	1.7635093994140625	1.7641307373046875
425.5	1.716493896484375	1.7172843017578125
426.5	1.7252548828125	1.7259635009765626
427.5	1.657461181640625	1.65802490234375
428.5	1.6761380615234376	1.67671435546875
429.5	1.4879432373046875	1.4885206298828124
430.5	1.212185791015625	1.2126153564453126
431.5	1.5598841552734375	1.560316162109375
432.5	1.7622998046875	1.763026123046875
433.5	1.6945469970703124	1.6951466064453125
434.5	1.6219163818359374	1.6221922607421875
435.5	1.800726318359375	1.8010330810546875
436.5	1.8923096923828124	1.8927115478515626
437.5	1.8097288818359376	1.8100262451171876
438.5	1.6791689453125	1.6792012939453125
439.5	1.8002537841796875	1.8003238525390626
440.5	1.807742919921875	1.8079549560546875
441.5	1.918884765625	1.91896044921875
442.5	1.9848675537109375	1.984736328125
443.5	1.96527880859375	1.9655313720703125
444.5	2.0059886474609376	2.00590771484375
445.5	1.9096143798828125	1.9096768798828125
446.5	1.897850830078125	1.897545654296875
447.5	2.0395982666015624	2.0395714111328127
448.5	2.042899169921875	2.042588134765625
449.5	2.05955078125	2.059837646484375
450.5	2.16780224609375	2.1688583984375
451.5	2.1589521484375	2.160227294921875
452.5	2.019482666015625	2.02074951171875
453.5	1.971133544921875	1.9723634033203126
454.5	2.057700927734375	2.058856689453125
455.5	2.05219970703125	2.053232421875
456.5	2.123956787109375	2.124939208984375
457.5	2.123391357421875	2.1244482421875
458.5	2.063388427734375	2.064408935546875
459.5	2.061226806640625	2.062172607421875
460.5	2.090093994140625	2.090980712890625
461.5	2.135726806640625	2.136561279296875
462.5	2.14280615234375	2.143721435546875
463.5	2.116732666015625	2.117763427734375
464.5	2.043510498046875	2.0442784423828124
465.5	2.0599775390625	2.06092431640625
466.5	2.021833984375	2.022485595703125
467.5	2.0110413818359376	2.0117901611328124
468.5	2.0529345703125	2.05366064453125
469.5	2.04846337890625	2.04917578125
470.5	1.9763502197265626	1.9771636962890624
471.5	2.05876025390625	2.05958349609375
472.5	2.106539306640625	2.10721826171875
473.5	2.0432838134765623	2.0439769287109373
474.5	2.112963623046875	2.11366259765625
475.5	2.09299267578125	2.093628662109375
476.5	2.0473289794921876	2.04794287109375
477.5	2.122659912109375	2.123266845703125
478.5	2.1107919921875	2.1114833984375
479.5	2.11625830078125	2.11649755859375
480.5	2.10719921875	2.1071748046875
481.5	2.130794189453125	2.13115673828125
482.5	2.113185546875	2.11339599609375
483.5	2.07084765625	2.07128125
484.5	2.0451007080078125	2.0453721923828123
485.5	1.8746025390625	1.875270263671875
486.5	1.6985025634765625	1.6989599609375
487.5	1.9078221435546876	1.908188720703125
488.5	1.9542734375	1.9547547607421876
489.5	1.9976260986328125	1.9981456298828124
490.5	2.0589716796875	2.059459228515625
491.5	1.9541317138671874	1.954732421875
492.5	1.933670166015625	1.934110107421875
493.5	1.9953204345703126	1.9958380126953126
494.5	2.0318160400390624	2.0321427001953123
495.5	2.014976806640625	2.0156641845703125
496.5	2.007307373046875	2.0078717041015626
497.5	2.02434814453125	2.0248433837890625
498.5	1.9472547607421875	1.947779541015625
499.5	1.9986357421875	1.99895068359375
500.5	1.9547744140625	1.95559716796875
501.5	1.9494796142578126	1.950462890625
502.5	1.94887744140625	1.9499383544921876
503.5	1.951616455078125	1.9527181396484374
504.5	1.95648828125	1.95769970703125
505.5	1.962196044921875	1.9630421142578125
506.5	1.96582470703125	1.966609619140625
507.5	1.9662015380859375	1.9669422607421876
508.5	1.9632015380859376	1.9638287353515624
509.5	1.957263916015625	1.957888916015625
510.5	1.9477490234375	1.948543212890625
511.5	1.93048388671875	1.930929931640625
512.5	1.908041259765625	1.9087620849609375
513.5	1.886462646484375	1.886921630859375
514.5	1.8666514892578125	1.8668564453125
515.5	1.848488525390625	1.8488409423828125
516.5	1.83290869140625	1.8337393798828125
517.5	1.822908447265625	1.8239310302734375
518.5	1.8270712890625	1.8281072998046874
519.5	1.8363243408203125	1.83731103515625
520.5	1.845802734375	1.846941162109375
521.5	1.855145263671875	1.8563521728515624
522.5	1.8661214599609375	1.8670899658203124
523.5	1.8776082763671875	1.8786517333984376
524.5	1.88801171875	1.8891292724609374
525.5	1.8945943603515625	1.89568408203125
526.5	1.898134033203125	1.899125
527.5	1.90166162109375	1.9025828857421876
528.5	1.909777587890625	1.9107701416015626
529.5	1.916376708984375	1.91734765625
530.5	1.9211102294921876	1.922116455078125
531.5	1.923883056640625	1.9247586669921875
532.5	1.924244140625	1.925301513671875
533.5	1.9242047119140624	1.925052490234375
534.5	1.9225360107421876	1.923238525390625
535.5	1.91856005859375	1.9194166259765626
536.5	1.9123880615234374	1.9130543212890625
537.5	1.9063795166015625	1.9069197998046874
538.5	1.901007080078125	1.9015003662109375
539.5	1.8966922607421874	1.897146728515625
540.5	1.894078369140625	1.8942669677734374
541.5	1.892629150390625	1.8924549560546875
542.5	1.8918924560546875	1.891518798828125
543.5	1.891000244140625	1.891373779296875
544.5	1.89192431640625	1.89223876953125
545.5	1.89292529296875	1.892988525390625
546.5	1.8933798828125	1.8931895751953125
547.5	1.8945811767578125	1.8943701171875
548.5	1.894640869140625	1.894501220703125
549.5	1.893602294921875	1.8936016845703125
550.5	1.8914906005859375	1.8914173583984375
551.5	1.8880584716796875	1.887825439453125
552.5	1.8838525390625	1.8834876708984376
553.5	1.8794923095703124	1.8791954345703126
554.5	1.8748553466796876	1.874533203125
555.5	1.86999169921875	1.86961279296875
556.5	1.864718994140625	1.864306884765625
557.5	1.85940234375	1.8589754638671876
558.5	1.8545223388671874	1.8541142578125
559.5	1.85145849609375	1.851245361328125
560.5	1.8496546630859374	1.8495426025390624
561.5	1.8483441162109375	1.84836474609375
562.5	1.8464188232421874	1.8466776123046875
563.5	1.84523779296875	1.8456953125
564.5	1.84460693359375	1.845217529296875
565.5	1.8452630615234376	1.846075927734375
566.5	1.8460582275390625	1.847005126953125
567.5	1.84701025390625	1.8479827880859374
568.5	1.8474227294921874	1.848467529296875
569.5	1.847813232421875	1.8488985595703125
570.5	1.8483109130859374	1.8494554443359374
571.5	1.8487537841796875	1.8500806884765626
572.5	1.849181396484375	1.850693359375
573.5	1.8497257080078124	1.8512830810546874
574.5	1.8499691162109375	1.851498779296875
575.5	1.849828857421875	1.8512374267578124
576.5	1.8487664794921874	1.8501392822265625
577.5	1.847426025390625	1.84877294921875
578.5	1.8458646240234375	1.847201171875
579.5	1.843091064453125	1.84451953125
580.5	1.838894287109375	1.8405125732421874
581.5	1.834049072265625	1.8355980224609374
582.5	1.8289898681640624	1.83046337890625
583.5	1.823574951171875	1.825084228515625
584.5	1.8180550537109375	1.819619384765625
585.5	1.812356201171875	1.8139324951171876
586.5	1.80704736328125	1.8086295166015625
587.5	1.8019578857421874	1.8035391845703126
588.5	1.7974351806640625	1.7991904296875
589.5	1.793348876953125	1.795252685546875
590.5	1.7914163818359374	1.7930753173828125
591.5	1.7893516845703126	1.790934326171875
592.5	1.787080322265625	1.788869384765625
593.5	1.78519921875	1.787105712890625
594.5	1.78357861328125	1.785500732421875
595.5	1.7819210205078124	1.78391943359375
596.5	1.7802547607421875	1.78233447265625
597.5	1.77837451171875	1.78041357421875
598.5	1.7762982177734374	1.7782789306640625
599.5	1.7732659912109374	1.7752147216796874
600.5	1.76994482421875	1.771837890625
601.5	1.76603662109375	1.7678748779296876
602.5	1.7619984130859374	1.76380810546875
603.5	1.7578134765625	1.759601806640625
604.5	1.753122802734375	1.7548402099609375
605.5	1.7480946044921875	1.7497008056640626
606.5	1.7423193359375	1.7437445068359374
607.5	1.7362529296875	1.73752685546875
608.5	1.7300206298828125	1.73144482421875
609.5	1.7237484130859375	1.725294189453125
