#x	#y
1397.5454545454545	1120.8181818181818
1370.3636363636363	953.6363636363636
1302.125	852.5
1230.0	786.0
1196.3636363636363	730.3636363636364
1145.0	687.0
1095.6666666666667	653.6666666666666
1026.0	616.0
954.3333333333334	586.0
886.0	566.0
802.6666666666666	547.0
734.6666666666666	533.0
656.6666666666666	517.6666666666666
525.0	496.0
444.3333333333333	469.3333333333333
390.0	446.6666666666667
384.90909090909093	429.8181818181818
373.27272727272725	404.72727272727275
372.90909090909093	388.0
377.09090909090907	375.27272727272725
381.09090909090907	368.0
385.09090909090907	357.45454545454544
396.72727272727275	346.3636363636364
396.72727272727275	341.8181818181818
398.1818181818182	336.3636363636364
409.09090909090907	315.27272727272725
424.90909090909093	286.54545454545456
429.8181818181818	272.90909090909093
422.72727272727275	254.36363636363637
444.90909090909093	237.8181818181818
452.72727272727275	221.8181818181818
459.6363636363636	203.45454545454547
467.45454545454544	177.27272727272728
468.72727272727275	169.8181818181818
468.90909090909093	122.0
462.1818181818182	112.0
454.90909090909093	101.63636363636364
447.45454545454544	95.27272727272727
439.8181818181818	88.54545454545455
429.6363636363636	82.36363636363636
405.27272727272725	70.54545454545455
397.27272727272725	67.27272727272727
357.09090909090907	55.09090909090909
277.75	33.25
238.5	22.25
192.0	10.25
165.5	0.75
