#wave[nm]	#irradiance[W/m^2/nm]	#model[W/m^2/nm]
117.5	1.147482842206955E-4	1.147482842206955E-4
118.5	4.135071858763695E-5	4.135071858763695E-5
119.5	7.483862340450287E-5	7.483862340450287E-5
120.5	2.3749592900276185E-4	2.3749592900276185E-4
121.5	0.009683951377868653	0.009683951377868653
122.5	8.562812954187393E-5	8.562812954187393E-5
123.5	5.5381588637828825E-5	5.5381588637828825E-5
124.5	4.05443012714386E-5	4.05443012714386E-5
125.5	3.50697934627533E-5	3.50697934627533E-5
126.5	5.277261883020401E-5	5.277261883020401E-5
127.5	2.4874048307538033E-5	2.4874048307538033E-5
128.5	1.9489839673042298E-5	1.9489839673042298E-5
129.5	2.4621322751045227E-5	2.4621322751045227E-5
130.5	1.9607672095298768E-4	1.9607672095298768E-4
131.5	3.027859516441822E-5	3.027859516441822E-5
132.5	2.507953718304634E-5	2.507953718304634E-5
133.5	2.7303597331047055E-4	2.7303597331047055E-4
134.5	2.335401810705662E-5	2.335401810705662E-5
135.5	5.130631104111672E-5	5.130631104111672E-5
136.5	3.306758776307106E-5	3.306758776307106E-5
137.5	3.524552658200264E-5	3.524552658200264E-5
138.5	3.4252569079399107E-5	3.4252569079399107E-5
139.5	1.1071132868528367E-4	1.1071132868528367E-4
140.5	8.84927436709404E-5	8.84927436709404E-5
141.5	4.823971539735794E-5	4.823971539735794E-5
142.5	5.128583312034607E-5	5.128583312034607E-5
143.5	5.9084657579660414E-5	5.9084657579660414E-5
144.5	5.7640735059976574E-5	5.7640735059976574E-5
145.5	6.16481527686119E-5	6.16481527686119E-5
146.5	7.6008640229702E-5	7.6008640229702E-5
147.5	9.15852040052414E-5	9.15852040052414E-5
148.5	9.459125995635987E-5	9.459125995635987E-5
149.5	8.558271825313569E-5	8.558271825313569E-5
150.5	9.574182331562042E-5	9.574182331562042E-5
151.5	1.0399308800697327E-4	1.0399308800697327E-4
152.5	1.3296981155872344E-4	1.3296981155872344E-4
153.5	1.4607171714305878E-4	1.4607171714305878E-4
154.5	2.5888344645500183E-4	2.5888344645500183E-4
155.5	2.2234578430652618E-4	2.2234578430652618E-4
156.5	2.139820009469986E-4	2.139820009469986E-4
157.5	1.868849992752075E-4	1.868849992752075E-4
158.5	1.8379446864128112E-4	1.8379446864128112E-4
159.5	1.7816758155822754E-4	1.7816758155822754E-4
160.5	2.004162222146988E-4	2.004162222146988E-4
161.5	2.3517747223377228E-4	2.3517747223377228E-4
162.5	2.724722921848297E-4	2.724722921848297E-4
163.5	2.9487711191177366E-4	2.9487711191177366E-4
164.5	3.4965357184410094E-4	3.4965357184410094E-4
165.5	5.41908085346222E-4	5.41908085346222E-4
166.5	3.579331338405609E-4	3.579331338405609E-4
167.5	4.438211917877197E-4	4.438211917877197E-4
168.5	4.6483492851257327E-4	4.6483492851257327E-4
169.5	6.135609745979309E-4	6.135609745979309E-4
170.5	7.097976803779602E-4	7.122272253036499E-4
171.5	7.224745750427246E-4	7.206172943115234E-4
172.5	7.836256623268128E-4	7.885078191757202E-4
173.5	7.848981022834778E-4	7.890155911445618E-4
174.5	9.631830453872681E-4	9.68300461769104E-4
175.5	0.0011847432851791382	0.0011874918937683106
176.5	0.001272992491722107	0.001281675100326538
177.5	0.0015599663257598877	0.001569587230682373
178.5	0.0017304356098175049	0.0017469676733016968
179.5	0.0017232115268707275	0.0017407264709472657
180.5	0.0021634390354156492	0.002183136463165283
181.5	0.002607531785964966	0.002630828857421875
182.5	0.0024217865467071535	0.0024361217021942137
183.5	0.0026071627140045166	0.0026253876686096194
184.5	0.002257124185562134	0.0022759828567504884
185.5	0.0025847692489624026	0.00259963059425354
186.5	0.0030002174377441407	0.0030187499523162842
187.5	0.0033633100986480715	0.003381908655166626
188.5	0.0035938146114349364	0.0036243202686309815
189.5	0.004000514507293701	0.004021414756774902
190.5	0.004190678596496582	0.004216234683990478
191.5	0.0044641180038452145	0.004500260829925537
192.5	0.004815742015838623	0.004840579509735108
193.5	0.0036961681842803953	0.00373016619682312
194.5	0.006097586631774903	0.006148189544677734
195.5	0.00590547513961792	0.0059614753723144535
196.5	0.006660895824432373	0.0066950244903564455
197.5	0.0067533087730407716	0.00678313684463501
198.5	0.006778459548950195	0.006807202339172363
199.5	0.007351592063903809	0.007400161266326905
200.5	0.008012605667114257	0.008048112869262696
201.5	0.008895550727844238	0.008950221061706542
202.5	0.008803319931030274	0.008847225189208984
203.5	0.010166727066040038	0.010229652404785156
204.5	0.011281935691833497	0.011347994804382325
205.5	0.01160008716583252	0.011671667098999023
206.5	0.012012172698974609	0.012087359428405761
207.5	0.01385976505279541	0.013934014320373535
208.5	0.015769532203674316	0.015892906188964842
209.5	0.02261435890197754	0.022657102584838867
210.5	0.029211027145385742	0.0292482852935791
211.5	0.035068172454833985	0.035136775970458986
212.5	0.03364281463623047	0.03376027297973633
213.5	0.030340621948242188	0.03048638153076172
214.5	0.04307889938354492	0.04327116394042969
215.5	0.035509410858154296	0.03567155838012695
216.5	0.034156570434570314	0.034222118377685545
217.5	0.03322108840942383	0.033247241973876955
218.5	0.047055461883544925	0.04714536666870117
219.5	0.04909100723266602	0.04928708267211914
220.5	0.048516510009765625	0.04866516876220703
221.5	0.03443820953369141	0.03454127883911133
222.5	0.05069736480712891	0.05074039840698242
223.5	0.0644974365234375	0.06461874389648438
224.5	0.05923390579223633	0.05940432739257812
225.5	0.05234579849243164	0.052453815460205076
226.5	0.03701313018798828	0.037224464416503907
227.5	0.037410079956054686	0.03742946624755859
228.5	0.05330728530883789	0.053499698638916016
229.5	0.04513183975219726	0.04529522323608398
230.5	0.05522377014160156	0.05534033203125
231.5	0.047617294311523437	0.04784206771850586
232.5	0.051346405029296875	0.05149470138549805
233.5	0.04329565048217773	0.043437606811523435
234.5	0.03507542037963867	0.0352205924987793
235.5	0.05620473098754883	0.056310470581054685
236.5	0.043484413146972656	0.04360499954223633
237.5	0.052692905426025394	0.05286745834350586
238.5	0.03636189651489258	0.03651615905761719
239.5	0.04464270401000976	0.04471707916259766
240.5	0.04088442611694336	0.04097380065917969
241.5	0.04770857620239258	0.047796638488769534
242.5	0.07106993103027344	0.07137425231933593
243.5	0.06482157135009765	0.06496572113037109
244.5	0.06167330551147461	0.06188914489746094
245.5	0.048815929412841796	0.04893759918212891
246.5	0.048802207946777344	0.048856353759765624
247.5	0.05626613998413086	0.05641806411743164
248.5	0.04368036651611328	0.04380810165405274
249.5	0.05567107009887695	0.05573067474365234
250.5	0.05856042861938476	0.05875190353393555
251.5	0.045621746063232424	0.04561011505126953
252.5	0.040108085632324215	0.04020946502685547
253.5	0.05142648696899414	0.05151218414306641
254.5	0.05703855895996094	0.05714198684692383
255.5	0.08090771484375	0.08089649963378906
256.5	0.09615148162841797	0.09688936614990235
257.5	0.1197961196899414	0.12014517211914062
258.5	0.12722547912597656	0.12743218231201173
259.5	0.10681695556640625	0.1071840362548828
260.5	0.08697222900390625	0.08723502349853515
261.5	0.084954345703125	0.08516405487060547
262.5	0.10737190246582032	0.10757065582275391
263.5	0.15669566345214844	0.15662905883789063
264.5	0.2432267303466797	0.24384780883789062
265.5	0.26346640014648437	0.26416476440429687
266.5	0.26550827026367185	0.265852294921875
267.5	0.2627616577148438	0.26306863403320313
268.5	0.25930865478515625	0.2600527648925781
269.5	0.25649404907226564	0.25640325927734375
270.5	0.2786824951171875	0.2795698547363281
271.5	0.2496837921142578	0.2497772216796875
272.5	0.2132967529296875	0.2142220916748047
273.5	0.21510922241210936	0.21546272277832032
274.5	0.15072676086425782	0.15061407470703125
275.5	0.18377178955078124	0.18501271057128907
276.5	0.24889134216308595	0.24936087036132812
277.5	0.24631192016601564	0.24642872619628906
278.5	0.17610697937011718	0.1756487579345703
279.5	0.10310508728027344	0.10370035552978515
280.5	0.10546227264404297	0.1061065444946289
281.5	0.20881221008300782	0.20896900939941407
282.5	0.3018714294433594	0.30250234985351565
283.5	0.3272708740234375	0.3274134521484375
284.5	0.25789019775390626	0.2580904541015625
285.5	0.18346884155273438	0.18382421875
286.5	0.3184700012207031	0.31940359497070314
287.5	0.35831082153320315	0.35942449951171873
288.5	0.34514447021484373	0.3452482299804687
289.5	0.481925537109375	0.4834677429199219
290.5	0.6188621826171875	0.6196807250976563
291.5	0.608106201171875	0.6100708618164062
292.5	0.5542831420898438	0.5554794921875
293.5	0.5536433715820313	0.5544026489257813
294.5	0.5339547729492188	0.5352662353515625
295.5	0.5640690307617188	0.5661566772460938
296.5	0.5411280517578125	0.5420926513671875
297.5	0.5201077880859375	0.52141162109375
298.5	0.49894979858398436	0.49944842529296873
299.5	0.5007828369140624	0.5029295043945312
300.5	0.4548498229980469	0.4561593933105469
301.5	0.4760449523925781	0.4768149719238281
302.5	0.5067608032226563	0.5082554016113281
303.5	0.6465323486328125	0.6483919067382813
304.5	0.6340935668945312	0.63603173828125
305.5	0.6284178466796875	0.629384521484375
306.5	0.5902708129882812	0.5923834838867188
307.5	0.650632568359375	0.6518827514648438
308.5	0.6476511840820313	0.6497772827148437
309.5	0.552267578125	0.5538319091796875
310.5	0.6196619873046875	0.621632568359375
311.5	0.7573795166015626	0.7596869506835937
312.5	0.6905972900390625	0.6922711181640625
313.5	0.7207584228515626	0.7215640258789062
314.5	0.7020333251953125	0.703682861328125
315.5	0.6645027465820312	0.6666130981445313
316.5	0.64489990234375	0.645769287109375
317.5	0.7865574951171875	0.7889227294921874
318.5	0.702887451171875	0.7044595947265625
319.5	0.727481201171875	0.7298723754882812
320.5	0.8160087280273437	0.8186043090820313
321.5	0.7314955444335938	0.733599365234375
322.5	0.7169493408203125	0.7200506591796875
323.5	0.6858941040039063	0.6881334228515625
324.5	0.7780109252929688	0.78022216796875
325.5	0.8953599243164062	0.89646875
326.5	1.0101832885742188	1.0143555908203126
327.5	0.9897537841796875	0.9930121459960938
328.5	0.958079345703125	0.9610208129882812
329.5	1.083037353515625	1.0836893310546876
330.5	1.069044677734375	1.0722923583984374
331.5	1.0012686157226562	1.0042988891601563
332.5	0.9948500366210937	0.99679736328125
333.5	0.962419921875	0.9646500854492187
334.5	0.9924644775390625	0.9941093139648437
335.5	0.9884915771484375	0.9899581909179688
336.5	0.8603450317382813	0.8627630615234375
337.5	0.8738468627929687	0.8758410034179688
338.5	0.9532379760742188	0.956414794921875
339.5	1.0011434326171875	1.0048291625976562
340.5	1.0544853515625	1.057865234375
341.5	0.9796371459960938	0.9817656860351562
342.5	1.0299537353515624	1.0327535400390624
343.5	0.9984981079101563	0.9991204833984375
344.5	0.8548640747070313	0.85643408203125
345.5	0.9718858032226563	0.9752659301757812
346.5	0.9715780639648437	0.974517333984375
347.5	0.9554203491210937	0.9600335693359375
348.5	0.944549560546875	0.9473336181640625
349.5	0.936865966796875	0.940164794921875
350.5	1.07269970703125	1.0751810302734375
351.5	1.03590673828125	1.0405169677734376
352.5	0.9650491943359375	0.9683732299804687
353.5	1.0485921630859374	1.0527850341796876
354.5	1.149865478515625	1.1556385498046875
355.5	1.102120361328125	1.1058375244140626
356.5	0.9818193359375	0.98509033203125
357.5	0.8522462158203125	0.8559000854492187
358.5	0.75965673828125	0.765164794921875
359.5	1.0018273315429687	1.006502685546875
360.5	1.0566134033203125	1.0622767333984375
361.5	0.9332045288085937	0.9359461059570312
362.5	1.015156005859375	1.0201903076171874
363.5	1.0417701416015626	1.0491116943359375
364.5	1.0530194091796874	1.059214599609375
365.5	1.1730228271484375	1.1781300048828125
366.5	1.2866705322265626	1.2938927001953124
367.5	1.236792236328125	1.2448416748046875
368.5	1.1685687255859376	1.17382861328125
369.5	1.26239404296875	1.2685487060546874
370.5	1.2197735595703125	1.223510498046875
371.5	1.2151702880859374	1.2182369384765626
372.5	1.112857421875	1.116213134765625
373.5	0.9776345825195313	0.979384765625
374.5	0.9426090087890625	0.9438712158203125
375.5	1.0654345703125	1.0676026611328124
376.5	1.1351478271484374	1.13460546875
377.5	1.27583251953125	1.27478466796875
378.5	1.3659195556640624	1.366812744140625
379.5	1.1639298095703126	1.16424609375
380.5	1.2288624267578125	1.2268114013671876
381.5	1.1700521240234374	1.1703240966796875
382.5	0.8606424560546875	0.8623551635742187
383.5	0.7456390380859375	0.7421481323242187
384.5	0.9444822387695313	0.9393658447265625
385.5	1.047337158203125	1.0433878173828126
386.5	1.029570556640625	1.025561279296875
387.5	1.0302467041015626	1.028912353515625
388.5	1.0095958862304688	1.0062738037109376
389.5	1.14909033203125	1.146161376953125
390.5	1.265915771484375	1.262103759765625
391.5	1.3410694580078124	1.3398116455078124
392.5	1.0851455078125	1.0859854736328125
393.5	0.6570318603515625	0.6564599609375
394.5	0.9553605346679688	0.9526810302734375
395.5	1.280926025390625	1.2812418212890626
396.5	0.9731990966796875	0.97380810546875
397.5	0.8764407348632812	0.8676836547851563
398.5	1.551583984375	1.55180908203125
399.5	1.6651578369140625	1.664038330078125
400.5	1.665799072265625	1.665799072265625
401.5	1.74897119140625	1.74897119140625
402.5	1.767537841796875	1.767537841796875
403.5	1.7216434326171874	1.7216434326171874
404.5	1.6950245361328125	1.6950245361328125
405.5	1.6748990478515624	1.6748990478515624
406.5	1.6210513916015625	1.6210513916015625
407.5	1.649359130859375	1.649359130859375
408.5	1.770829345703125	1.770829345703125
409.5	1.720135986328125	1.720135986328125
410.5	1.5900726318359375	1.5900726318359375
411.5	1.8215791015625	1.8215791015625
412.5	1.807122802734375	1.807122802734375
413.5	1.7800396728515624	1.7800396728515624
414.5	1.8040870361328125	1.8040870361328125
415.5	1.7825142822265625	1.7825142822265625
416.5	1.832194580078125	1.832194580078125
417.5	1.7344215087890624	1.7344215087890624
418.5	1.7324283447265625	1.7324283447265625
419.5	1.72292822265625	1.72292822265625
420.5	1.7610899658203125	1.7610899658203125
421.5	1.867140380859375	1.867140380859375
422.5	1.7141781005859376	1.7141781005859376
423.5	1.7206153564453126	1.7206153564453126
424.5	1.7638690185546875	1.7638690185546875
425.5	1.7173662109375	1.7173662109375
426.5	1.7261295166015624	1.7261295166015624
427.5	1.6589307861328124	1.6589307861328124
428.5	1.6774215087890625	1.6774215087890625
429.5	1.489654541015625	1.489654541015625
430.5	1.2161029052734376	1.2161029052734376
431.5	1.56212451171875	1.56212451171875
432.5	1.7634742431640624	1.7634742431640624
433.5	1.69542333984375	1.69542333984375
434.5	1.622423583984375	1.622423583984375
435.5	1.8019521484375	1.8019521484375
436.5	1.8932742919921874	1.8932742919921874
437.5	1.810237060546875	1.810237060546875
438.5	1.6800799560546875	1.6800799560546875
439.5	1.8005001220703125	1.8005001220703125
440.5	1.8079949951171874	1.8079949951171874
441.5	1.918572265625	1.918572265625
442.5	1.9837821044921875	1.9837821044921875
443.5	1.9648446044921875	1.9648446044921875
444.5	2.004968017578125	2.004968017578125
445.5	1.90848388671875	1.90848388671875
446.5	1.8971048583984376	1.8971048583984376
447.5	2.0383699951171876	2.0383699951171876
448.5	2.0413365478515626	2.0413365478515626
449.5	2.0587490234375	2.0587490234375
450.5	2.16696728515625	2.16696728515625
451.5	2.158322998046875	2.158322998046875
452.5	2.019056640625	2.019056640625
453.5	1.9710675048828126	1.9710675048828126
454.5	2.057473876953125	2.057473876953125
455.5	2.0513779296875	2.0513779296875
456.5	2.1233017578125	2.1233017578125
457.5	2.122867919921875	2.122867919921875
458.5	2.062791748046875	2.062791748046875
459.5	2.06075244140625	2.06075244140625
460.5	2.0895234375	2.0895234375
461.5	2.13493408203125	2.13493408203125
462.5	2.141962890625	2.141962890625
463.5	2.11630615234375	2.11630615234375
464.5	2.0433106689453124	2.0433106689453124
465.5	2.0598857421875	2.0598857421875
466.5	2.0219681396484375	2.0219681396484375
467.5	2.0114381103515626	2.0114381103515626
468.5	2.052991943359375	2.052991943359375
469.5	2.04859375	2.04859375
470.5	1.976744873046875	1.976744873046875
471.5	2.0590224609375	2.0590224609375
472.5	2.106137939453125	2.106137939453125
473.5	2.0433240966796875	2.0433240966796875
474.5	2.11270654296875	2.11270654296875
475.5	2.09268212890625	2.09268212890625
476.5	2.0474423828125	2.0474423828125
477.5	2.122356689453125	2.122356689453125
478.5	2.110216796875	2.110216796875
479.5	2.11547900390625	2.11547900390625
480.5	2.1062666015625	2.1062666015625
481.5	2.130368408203125	2.130368408203125
482.5	2.11255419921875	2.11255419921875
483.5	2.070727294921875	2.070727294921875
484.5	2.0446434326171876	2.0446434326171876
485.5	1.8743780517578126	1.8743780517578126
486.5	1.6985496826171875	1.6985496826171875
487.5	1.90809375	1.90809375
488.5	1.9540533447265624	1.9540533447265624
489.5	1.9972457275390625	1.9972457275390625
490.5	2.058251220703125	2.058251220703125
491.5	1.953758544921875	1.953758544921875
492.5	1.933381591796875	1.933381591796875
493.5	1.99510498046875	1.99510498046875
494.5	2.0315377197265625	2.0315377197265625
495.5	2.01465625	2.01465625
496.5	2.007008056640625	2.007008056640625
497.5	2.0239296875	2.0239296875
498.5	1.94694482421875	1.94694482421875
499.5	1.99827978515625	1.99827978515625
500.5	1.9554871826171876	1.9554871826171876
501.5	1.9506094970703125	1.9506094970703125
502.5	1.949808349609375	1.949808349609375
503.5	1.952417724609375	1.952417724609375
504.5	1.957779052734375	1.957779052734375
505.5	1.9630284423828126	1.9630284423828126
506.5	1.9668388671875	1.9668388671875
507.5	1.96681982421875	1.96681982421875
508.5	1.96370654296875	1.96370654296875
509.5	1.9581678466796875	1.9581678466796875
510.5	1.9485107421875	1.9485107421875
511.5	1.9309112548828125	1.9309112548828125
512.5	1.9089368896484376	1.9089368896484376
513.5	1.886806640625	1.886806640625
514.5	1.8664971923828124	1.8664971923828124
515.5	1.848485107421875	1.848485107421875
516.5	1.833772216796875	1.833772216796875
517.5	1.82417724609375	1.82417724609375
518.5	1.8280419921875	1.8280419921875
519.5	1.836986572265625	1.836986572265625
520.5	1.8466151123046874	1.8466151123046874
521.5	1.8564364013671875	1.8564364013671875
522.5	1.86693408203125	1.86693408203125
523.5	1.8788660888671875	1.8788660888671875
524.5	1.888773681640625	1.888773681640625
525.5	1.895327392578125	1.895327392578125
526.5	1.8992783203125	1.8992783203125
527.5	1.9029215087890625	1.9029215087890625
528.5	1.91033056640625	1.91033056640625
529.5	1.917656982421875	1.917656982421875
530.5	1.922426513671875	1.922426513671875
531.5	1.9248834228515626	1.9248834228515626
532.5	1.92552783203125	1.92552783203125
533.5	1.9247901611328124	1.9247901611328124
534.5	1.9229765625	1.9229765625
535.5	1.919798095703125	1.919798095703125
536.5	1.9130701904296874	1.9130701904296874
537.5	1.907077392578125	1.907077392578125
538.5	1.9016573486328125	1.9016573486328125
539.5	1.8970927734375	1.8970927734375
540.5	1.8941566162109376	1.8941566162109376
541.5	1.8923447265625	1.8923447265625
542.5	1.89154931640625	1.89154931640625
543.5	1.891408447265625	1.891408447265625
544.5	1.8921187744140624	1.8921187744140624
545.5	1.892868408203125	1.892868408203125
546.5	1.8933349609375	1.8933349609375
547.5	1.8940330810546875	1.8940330810546875
548.5	1.8941641845703125	1.8941641845703125
549.5	1.893604248046875	1.893604248046875
550.5	1.891206298828125	1.891206298828125
551.5	1.8876146240234375	1.8876146240234375
552.5	1.8832530517578125	1.8832530517578125
553.5	1.8791827392578124	1.8791827392578124
554.5	1.874520751953125	1.874520751953125
555.5	1.8694014892578126	1.8694014892578126
556.5	1.8639151611328124	1.8639151611328124
557.5	1.8585848388671875	1.8585848388671875
558.5	1.8539742431640625	1.8539742431640625
559.5	1.851248046875	1.851248046875
560.5	1.84954541015625	1.84954541015625
561.5	1.8480479736328126	1.8480479736328126
562.5	1.8467144775390625	1.8467144775390625
563.5	1.8457320556640624	1.8457320556640624
564.5	1.845262939453125	1.845262939453125
565.5	1.8461820068359376	1.8461820068359376
566.5	1.847111328125	1.847111328125
567.5	1.8481417236328126	1.8481417236328126
568.5	1.848554931640625	1.848554931640625
569.5	1.8489859619140625	1.8489859619140625
570.5	1.8492535400390624	1.8492535400390624
571.5	1.8498787841796875	1.8498787841796875
572.5	1.8509139404296875	1.8509139404296875
573.5	1.8515263671875	1.8515263671875
574.5	1.8517420654296874	1.8517420654296874
575.5	1.8514752197265625	1.8514752197265625
576.5	1.8503770751953126	1.8503770751953126
577.5	1.8490548095703125	1.8490548095703125
578.5	1.84732958984375	1.84732958984375
579.5	1.844647705078125	1.844647705078125
580.5	1.8409310302734374	1.8409310302734374
581.5	1.8360155029296874	1.8360155029296874
582.5	1.8305509033203125	1.8305509033203125
583.5	1.82533251953125	1.82533251953125
584.5	1.819866943359375	1.819866943359375
585.5	1.814288330078125	1.814288330078125
586.5	1.808984375	1.808984375
587.5	1.8038643798828125	1.8038643798828125
588.5	1.7997098388671875	1.7997098388671875
589.5	1.79577099609375	1.79577099609375
590.5	1.7931634521484374	1.7931634521484374
591.5	1.7910223388671875	1.7910223388671875
592.5	1.789477294921875	1.789477294921875
593.5	1.7877130126953125	1.7877130126953125
594.5	1.785976318359375	1.785976318359375
595.5	1.7843946533203126	1.7843946533203126
596.5	1.7828983154296876	1.7828983154296876
597.5	1.780901123046875	1.780901123046875
598.5	1.77876611328125	1.77876611328125
599.5	1.77554052734375	1.77554052734375
600.5	1.7721630859375	1.7721630859375
601.5	1.768349853515625	1.768349853515625
602.5	1.7642818603515624	1.7642818603515624
603.5	1.759986083984375	1.759986083984375
604.5	1.7552232666015626	1.7552232666015626
605.5	1.750167724609375	1.750167724609375
606.5	1.7442098388671874	1.7442098388671874
607.5	1.7376510009765624	1.7376510009765624
